3Dflow normalized_data name	Tissue/System
Dorsolateral_Prefrontal_cortex	Brain
Hippocampus	Brain
Cortical.plate_Won	Brain
Germinal_zone_Won	Brain
Neurons_dopaminergic_EspesoGil_arima_rep1	Brain
Glia_Nurr1neg_NeuNneg_Midbrain_EspesoGil_arima_rep1	Brain
NPCs_Dixon_rep1	Brain
Astrocytes_cerebellum_pooled	Brain
HMEC	Breast
Mesendoderm_SC	Embryonic
Mesenchymal_SC	Embryonic
Trophectoderm_SC	Embryonic	
hESC_Dixon	Embryonic
hESC_Dekker	Embryonic
Adrenal.gland	Endocrine
Small_bowell	Gastrintestinal
Cardiomyocites_Progenitors_rep1	Heart
Cardiomyocites_Progenitors_rep2	Heart
Cardiomyocites_primitive_rep1	Heart
Cardiomyocites_primitive_rep2	Heart
Cardiomyocites_ventricular_rep1	Heart
Cardiomyocites_ventricular_rep2	Heart
Aorta	Heart
Left_ventricle	Heart
Right_Ventricle	Heart
Liver	Liver
Lung	Lung
IMR90	Lung
Psoas_rep1	Muscle
Psoas_rep2	Muscle
Bladder_rep1	Muscle
Bladder_rep2	Muscle
Ovary	Ovary
Pancreas_rep1	Pancreas
Pancreas_rep2	Pancreas
Pancreas_rep3	Pancreas
Islet	Pancreas
Spleen	Spleen
Keratinocytes_Day0.pooled	Skin
Keratinocytes_Day6.pooled	Skin
Keratinocytes_Day3.rep1	Skin
Keratinocytes_Day3.rep2	Skin
Thymus	Thymus
